title,category,rating,in_stock,price_gbp,price_inr
Obsidian (Lux #1),Young Adult,2,True,14.86,1567.73
My Paris Kitchen: Recipes and Stories,Food and Drink,2,True,33.37,3520.54
Masks and Shadows,Fantasy,2,True,56.4,5950.2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Food and Drink,4,True,14.02,1479.11
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Sequential Art,2,True,46.91,4949.0
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Sequential Art,3,True,45.61,4811.85
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Sequential Art,2,True,19.92,2101.56
"Layered: Baking, Building, and Styling Spectacular Cakes",Food and Drink,1,True,40.11,4231.6
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Add a comment,2,True,53.9,5686.45
Join,Science Fiction,5,True,35.67,3763.19
In the Country We Love: My Family Divided,Nonfiction,4,True,22.0,2321.0
